ACCESSIONnumber,ARTIST,TITLE,DATE,MEDIUM,Dimensions,EDITION,MAT SIZE,LOCATION,NOTES,PHOTO,CONDITION,VALUE,SOURCE,REFERENCE,WEBSITE
CC.2011.APP.1,"Bacon-Kidwell, Angela ",Memories of Two,2009,Crane Museo silver rag archive print,10 x 15 in.,6/25,20 x 24,,"Signature, title, date, and edition verso; limited ed",X,11/13/17,,,,http://www.angelabaconkidwell.com
CC.2003.GSP.5,"Baer, Morley","Round Valley & Mt Tom, Eastern Sierra, 1974",1974/1988,Gelatin silver print,10.5 x 13.5 in.,73/75,16 x 20,,signed recto on mat,Yes,9/18/17,"$3,000","same image, series",Photo West Gallery,
CC.2016.CNPP.1,"Baill�res, Jaime","Fantasma ciclista (Cyclist ghost), Juarez Murder Site ",2000,Color negative pigment print,17.75 x 27.25 in.,,,,,X,12/4/17,,,,
CC.2016.CNPP.2,"Baill�res, Jaime","Horizonte perdido, (Lost Horizon) Juarez-el Paso",1996,Color negative pigment print,15.875 x 24.25,,,,,X,12/4/17,,,,
CC.2016.CNPP.3,"Baill�res, Jaime","Suicidio (Suicide), Arizona road",2008,Color negative pigment print,12.5 x 35.875 in.,,,,,X,12/4/17,,,,
CC.2016.CNPP.4,"Baill�res, Jaime","The Street of the Future, Juarez Shanty Town.  Calle del futuro,",2000,Color negative pigment print,18.125 x 27.25 in.,,,,,X,12/4/17,,,,
CC.2011.GSP.1,"Ballis, George","First Grape Strike by NFWA, Delano CA",1966,Gelatin silver print,8.75 x 13 in.,,,,"2 photographs! Signed recto, portfolio 4",X,10/2/17,,,fotovision,
CC.2003.EP.1,"Balog, James",Chimpanzee with Curtain,1991,Ektacolor print,9.25 x 9.125 in.,21/50,,,"Signature and date recto, Mother Jones portfolio #6",Yes,11/6/17,"$1,000","simil to JB-9575, adj",A Gallery,http://jamesbalog.com
CC.2003.GSP.6,"Bankhead, Judy",(Woman with Baby),1991/1994,Gelatin silver print,6.0625 x 6 in.,,20 x 16,,"8x10 paper, signed and dated verso",Yes,8/31/17,$125,purchase price,Texas Photo Society,
CC.2011.APP.2,"Banta, Alyssa",Boy with Toy Hoop,2007,Archival pigment print,12 x 17.75 in.,,16 x 20,,"Signature, title, and date recto",X,11/6/17,$675,TPS,TPS auction cat,http://www.alyssabanta.com
CC.2014.APP.1,"Barber, Craig",Lion on the Bridge,2014,"Archival pigment print, pinhole camera",5.5 x 9.75 in.,,,,"TPS 2014 Print Program, signature, title, and date verso",X,10/9/17,$195,TPS,,http://www.craigbarber.com
CC.2011.GSP.2,"Baril, Tom",Roses in Vase,2002,Toned silver gelatin print,19 x 14.75 in.,,24 x 20,,"Signature, title, and date verso",Yes,10/16/17,,,,http://www.tombaril.net
CC.2013.CP.1,"Barnett, Susan",Lubbock Man,,Chromogenic print,17.875 x 10.625 in.,,,,"12x18 paper, mounted on 16 x 20 foam board",X,12/13/17,,,,http://www.notinyourface.com
CC.2016.APP.1,"Bautista, Gonzalo",Ma_scara,2015,Archival pigment print,13.5 x 24.875 in.,,,,,X,12/4/17,,Bautista Vargas Gonzalo Gabriel ,,
CC.2016.APP.2,"Bautista, Gonzalo",Sue�os de Zaranda,2014,Archival pigment print,17.75 x 27.25 in.,,,,,X,12/4/17,,Bautista Vargas Gonzalo Gabriel ,,
CC.2016.APP.3,"Bautista, Gonzalo",The Nature is Coming,2015,Archival pigment print,15.25 x 27.25 in.,,,,,X,12/4/17,,Bautista Vargas Gonzalo Gabriel ,,
CC.2018.GSP.3,"Beebe, Bill",JFK at Santa Monica Beach,1960,Geltain silver print,16 x 20 in.,18/25,,,From the JFK Official Centennial Portfolio,,,"$3,000",Appraisal,PDNB Gallery,
CC.2011.APP.3,"Behr, Sheri Lynn",Gold Cat 068 | Man 069,2008,Archival pigment print,8 x 16 in.,1/18,14 x 22,,signed verso,X,9/27/17,,,,http://www.sherilynnbehr.com
CC.2018.GSP.4,"Berman, Iosif",Blind Violin Player,c. 1930,Gelatin silver print,6.5 x 5 in.,,,,Toned vintage print,,,"$1,200",Appraisal,PDNB Gallery,
CC.2018.GSP.5,"Berman, Iosif",Boxing Match,c. 1930,Gelatin silver print,4.8 x 6.2 in.,,,,Toned vintage print,,,"$1,250",Appraisal,PDNB Gallery,
CC.2018.GSP.6,"Berman, Iosif",Gypsy Flower Girl,c. 1930,Gelatin silver print,6.8 x 4.9 in.,,,,Toned vintage print,,,$750,Appraisal,PDNB Gallery,
CC.2018.GSP.7,"Berman, Iosif",Lineman,c. 1930,Gelatin silver print,6.9 x 5.1 in.,,,,Toned vintage print,,,$500,Appraisal,PDNB Gallery,
CC.2018.GSP.8,"Berman, Iosif",Soccer Match Shadows,c. 1930,Gelatin silver print,5.9 x 5.1 in.,,,,Toned vintage print,,,$350,Appraisal,PDNB Gallery,
CC.2018.GSP.9,"Berman, Iosif",Street Cleaner,c. 1930,Gelatin silver print,5.9 x 3.8 in. ,,,,Toned vintage print,,,$750,Appraisal,PDNB Gallery,
CC.2003.PP.1,"Berman, Zeke",Measuring Cup,1979,Platinum print,7.5 x 9.5 in.,37/75,14 x 18,,"11.5x9.5 paper, signed, dated, and editioned verso",Yes,9/18/17,$600,"same, but lrg silver print","auction, Swann, 6/00",http://www.zekeb.com
CC.2003.GSP.7,"Berman, Zeke",Untitled (Web #2),1988,Gelatin silver print,9.75 x 12.75 in.,31/50,20 x 24,,"14x11 paper, signed verso",Yes,10/2/17,$700,simil In Out Diptych,Blind Spot Print,http://www.zekeb.com
CC.2003.GSP.8,"Bernhard, Ruth",Shell and Driftwood,1942/199?,Gelatin silver print,29 x 35.5 in.,,16 x 20,,"framed, signed",Yes,,"$5,000",simil Angelwing,Peter Fetterman,
